
Case 1: Standard (5V, 1kΩ, 100µF)
Time(s)	Voltage(V)	dV/dt(V/s)	Error(%)
0.0100	0.5000	45.0000	5.0833
0.0200	0.9500	40.5000	4.8165
0.0300	1.3550	36.4500	4.5598
0.0400	1.7195	32.8050	4.3133
0.0500	2.0476	29.5245	4.0767
0.0600	2.3428	26.5720	3.8500
0.0700	2.6085	23.9148	3.6329
0.0800	2.8477	21.5234	3.4252
0.0900	3.0629	19.3710	3.2269
0.1000	3.2566	17.4339	3.0376
0.1100	3.4309	15.6905	2.8571
0.1200	3.5879	14.1215	2.6852
0.1300	3.7291	12.7093	2.5218
0.1400	3.8562	11.4384	2.3665
0.1500	3.9705	10.2946	2.2190
0.1600	4.0735	9.2651	2.0792
0.1700	4.1661	8.3386	1.9468
0.1800	4.2495	7.5047	1.8215
0.1900	4.3246	6.7543	1.7031
0.2000	4.3921	6.0788	1.5912
0.2100	4.4529	5.4709	1.4857
0.2200	4.5076	4.9239	1.3862
0.2300	4.5569	4.4315	1.2925
0.2400	4.6012	3.9883	1.2044
0.2500	4.6411	3.5895	1.1216
0.2600	4.6769	3.2305	1.0438
0.2700	4.7093	2.9075	0.9708
0.2800	4.7383	2.6167	0.9024
0.2900	4.7645	2.3551	0.8383
0.3000	4.7880	2.1196	0.7783
0.3100	4.8092	1.9076	0.7223
0.3200	4.8283	1.7168	0.6698
0.3300	4.8455	1.5452	0.6209
0.3400	4.8609	1.3906	0.5752
0.3500	4.8748	1.2516	0.5327
0.3600	4.8874	1.1264	0.4930
0.3700	4.8986	1.0138	0.4561
0.3800	4.9088	0.9124	0.4217
0.3900	4.9179	0.8212	0.3898
0.4000	4.9261	0.7390	0.3601
0.4100	4.9335	0.6651	0.3325
0.4200	4.9401	0.5986	0.3069
0.4300	4.9461	0.5388	0.2832
0.4400	4.9515	0.4849	0.2612
0.4500	4.9564	0.4364	0.2408
0.4600	4.9607	0.3928	0.2219
0.4700	4.9647	0.3535	0.2044
0.4800	4.9682	0.3181	0.1883
0.4900	4.9714	0.2863	0.1733
0.5000	4.9742	0.2577	0.1595
0.5100	4.9768	0.2319	0.1467
0.5200	4.9791	0.2087	0.1349
0.5300	4.9812	0.1879	0.1241
0.5400	4.9831	0.1691	0.1140
0.5500	4.9848	0.1522	0.1048
0.5600	4.9863	0.1369	0.0962
0.5700	4.9877	0.1233	0.0884
0.5800	4.9889	0.1109	0.0811
0.5900	4.9900	0.0998	0.0745
0.6000	4.9910	0.0899	0.0683
0.6100	4.9919	0.0809	0.0627
0.6200	4.9927	0.0728	0.0575
0.6300	4.9934	0.0655	0.0527
0.6400	4.9941	0.0590	0.0483
0.6500	4.9947	0.0531	0.0443
0.6600	4.9952	0.0478	0.0406
0.6700	4.9957	0.0430	0.0372
0.6800	4.9961	0.0387	0.0341
0.6900	4.9965	0.0348	0.0312
0.7000	4.9969	0.0313	0.0286
0.7100	4.9972	0.0282	0.0261
0.7200	4.9975	0.0254	0.0239
0.7300	4.9977	0.0228	0.0219
0.7400	4.9979	0.0206	0.0200
0.7500	4.9982	0.0185	0.0183
0.7600	4.9983	0.0166	0.0168
0.7700	4.9985	0.0150	0.0153
0.7800	4.9987	0.0135	0.0140
0.7900	4.9988	0.0121	0.0128
0.8000	4.9989	0.0109	0.0117
0.8100	4.9990	0.0098	0.0107
0.8200	4.9991	0.0088	0.0098
0.8300	4.9992	0.0080	0.0089
0.8400	4.9993	0.0072	0.0082
0.8500	4.9994	0.0065	0.0074
0.8600	4.9994	0.0058	0.0068
0.8700	4.9995	0.0052	0.0062
0.8800	4.9995	0.0047	0.0057
0.8900	4.9996	0.0042	0.0052
0.9000	4.9996	0.0038	0.0047
0.9100	4.9997	0.0034	0.0043
0.9200	4.9997	0.0031	0.0039
0.9300	4.9997	0.0028	0.0036
0.9400	4.9998	0.0025	0.0033
0.9500	4.9998	0.0022	0.0030
0.9600	4.9998	0.0020	0.0027
0.9700	4.9998	0.0018	0.0025
0.9800	4.9998	0.0016	0.0023
0.9900	4.9999	0.0015	0.0021
1.0000	4.9999	0.0013	0.0019

Case 2: High Voltage (12V, 2.2kΩ, 220µF)
Time(s)	Voltage(V)	dV/dt(V/s)	Error(%)
0.0100	0.2479	24.2811	1.0366
0.0200	0.4907	23.7795	1.0258
0.0300	0.7285	23.2881	1.0151
0.0400	0.9614	22.8070	1.0044
0.0500	1.1895	22.3358	0.9938
0.0600	1.4128	21.8743	0.9833
0.0700	1.6316	21.4223	0.9728
0.0800	1.8458	20.9797	0.9625
0.0900	2.0556	20.5463	0.9522
0.1000	2.2611	20.1217	0.9420
