
Case 1: Standard (5V, 1kΩ, 100µF)
Circuit Parameters:
Source Voltage (V_s) = 5.00 V
Resistance (R) = 1000.00 Ω
Capacitance (C) = 1.00e-04 F
Time Constant (τ = RC) = 0.1000 s


Analytical Solution:
V(t) = 5.00 * (1 - e^(-t/0.1000))
where τ = RC = 0.1000 seconds

Time(s)          V_num(V)        V_analytic(V)      dV/dt(V/s)        Error(%)
--------------------------------------------------------------------------------
0.0100          0.5000          0.4758          45.0000         5.0833          
0.0200          0.9500          0.9063          40.5000         4.8165          
0.0300          1.3550          1.2959          36.4500         4.5598          
0.0400          1.7195          1.6484          32.8050         4.3133          
0.0500          2.0476          1.9673          29.5245         4.0767          
0.0600          2.3428          2.2559          26.5720         3.8500          
0.0700          2.6085          2.5171          23.9148         3.6329          
0.0800          2.8477          2.7534          21.5234         3.4252          
0.0900          3.0629          2.9672          19.3710         3.2269          
0.1000          3.2566          3.1606          17.4339         3.0376          
0.1100          3.4309          3.3356          15.6905         2.8571          
0.1200          3.5879          3.4940          14.1215         2.6852          
0.1300          3.7291          3.6373          12.7093         2.5218          
0.1400          3.8562          3.7670          11.4384         2.3665          
0.1500          3.9705          3.8843          10.2946         2.2190          
0.1600          4.0735          3.9905          9.2651          2.0792          
0.1700          4.1661          4.0866          8.3386          1.9468          
0.1800          4.2495          4.1735          7.5047          1.8215          
0.1900          4.3246          4.2522          6.7543          1.7031          
0.2000          4.3921          4.3233          6.0788          1.5912          
0.2100          4.4529          4.3877          5.4709          1.4857          
0.2200          4.5076          4.4460          4.9239          1.3862          
0.2300          4.5569          4.4987          4.4315          1.2925          
0.2400          4.6012          4.5464          3.9883          1.2044          
0.2500          4.6411          4.5896          3.5895          1.1216          
0.2600          4.6769          4.6286          3.2305          1.0438          
0.2700          4.7093          4.6640          2.9075          0.9708          
0.2800          4.7383          4.6959          2.6167          0.9024          
0.2900          4.7645          4.7249          2.3551          0.8383          
0.3000          4.7880          4.7511          2.1196          0.7783          
0.3100          4.8092          4.7748          1.9076          0.7223          
0.3200          4.8283          4.7962          1.7168          0.6698          
0.3300          4.8455          4.8156          1.5452          0.6209          
0.3400          4.8609          4.8331          1.3906          0.5752          
0.3500          4.8748          4.8490          1.2516          0.5327          
0.3600          4.8874          4.8634          1.1264          0.4930          
0.3700          4.8986          4.8764          1.0138          0.4561          
0.3800          4.9088          4.8881          0.9124          0.4217          
0.3900          4.9179          4.8988          0.8212          0.3898          
0.4000          4.9261          4.9084          0.7390          0.3601          
0.4100          4.9335          4.9171          0.6651          0.3325          
0.4200          4.9401          4.9250          0.5986          0.3069          
0.4300          4.9461          4.9322          0.5388          0.2832          
0.4400          4.9515          4.9386          0.4849          0.2612          
0.4500          4.9564          4.9445          0.4364          0.2408          
0.4600          4.9607          4.9497          0.3928          0.2219          
0.4700          4.9647          4.9545          0.3535          0.2044          
0.4800          4.9682          4.9589          0.3181          0.1883          
0.4900          4.9714          4.9628          0.2863          0.1733          
0.5000          4.9742          4.9663          0.2577          0.1595          
0.5100          4.9768          4.9695          0.2319          0.1467          
0.5200          4.9791          4.9724          0.2087          0.1349          
0.5300          4.9812          4.9750          0.1879          0.1241          
0.5400          4.9831          4.9774          0.1691          0.1140          
0.5500          4.9848          4.9796          0.1522          0.1048          
0.5600          4.9863          4.9815          0.1369          0.0962          
0.5700          4.9877          4.9833          0.1233          0.0884          
0.5800          4.9889          4.9849          0.1109          0.0811          
0.5900          4.9900          4.9863          0.0998          0.0745          
0.6000          4.9910          4.9876          0.0899          0.0683          
0.6100          4.9919          4.9888          0.0809          0.0627          
0.6200          4.9927          4.9899          0.0728          0.0575          
0.6300          4.9934          4.9908          0.0655          0.0527          
0.6400          4.9941          4.9917          0.0590          0.0483          
0.6500          4.9947          4.9925          0.0531          0.0443          
0.6600          4.9952          4.9932          0.0478          0.0406          
0.6700          4.9957          4.9938          0.0430          0.0372          
0.6800          4.9961          4.9944          0.0387          0.0341          
0.6900          4.9965          4.9950          0.0348          0.0312          
0.7000          4.9969          4.9954          0.0313          0.0286          
0.7100          4.9972          4.9959          0.0282          0.0261          
0.7200          4.9975          4.9963          0.0254          0.0239          
0.7300          4.9977          4.9966          0.0228          0.0219          
0.7400          4.9979          4.9969          0.0206          0.0200          
0.7500          4.9982          4.9972          0.0185          0.0183          
0.7600          4.9983          4.9975          0.0166          0.0168          
0.7700          4.9985          4.9977          0.0150          0.0153          
0.7800          4.9987          4.9980          0.0135          0.0140          
0.7900          4.9988          4.9981          0.0121          0.0128          
0.8000          4.9989          4.9983          0.0109          0.0117          
0.8100          4.9990          4.9985          0.0098          0.0107          
0.8200          4.9991          4.9986          0.0088          0.0098          
0.8300          4.9992          4.9988          0.0080          0.0089          
0.8400          4.9993          4.9989          0.0072          0.0082          
0.8500          4.9994          4.9990          0.0065          0.0074          
0.8600          4.9994          4.9991          0.0058          0.0068          
0.8700          4.9995          4.9992          0.0052          0.0062          
0.8800          4.9995          4.9992          0.0047          0.0057          
0.8900          4.9996          4.9993          0.0042          0.0052          
0.9000          4.9996          4.9994          0.0038          0.0047          
0.9100          4.9997          4.9994          0.0034          0.0043          
0.9200          4.9997          4.9995          0.0031          0.0039          
