
Case 2: High Voltage (12V, 2.2kΩ, 220µF)
Circuit Parameters:
Source Voltage (V_s) = 12.00 V
Resistance (R) = 2200.00 Ω
Capacitance (C) = 2.20e-04 F
Time Constant (τ = RC) = 0.4840 s


Analytical Solution:
V(t) = 12.00 * (1 - e^(-t/0.4840))
where τ = RC = 0.4840 seconds

Time(s)          V_num(V)        V_analytic(V)      dV/dt(V/s)        Error(%)
--------------------------------------------------------------------------------
0.0100          0.2479          0.2454          24.2811         1.0366          
0.0200          0.4907          0.4858          23.7795         1.0258          
0.0300          0.7285          0.7212          23.2881         1.0151          
0.0400          0.9614          0.9519          22.8070         1.0044          
0.0500          1.1895          1.1778          22.3358         0.9938          
0.0600          1.4128          1.3991          21.8743         0.9833          
0.0700          1.6316          1.6159          21.4223         0.9728          
0.0800          1.8458          1.8282          20.9797         0.9625          
0.0900          2.0556          2.0362          20.5463         0.9522          
0.1000          2.2611          2.2400          20.1217         0.9420          
0.1100          2.4623          2.4396          19.7060         0.9319          
0.1200          2.6594          2.6351          19.2989         0.9218          
0.1300          2.8523          2.8266          18.9001         0.9118          
0.1400          3.0413          3.0142          18.5096         0.9019          
0.1500          3.2264          3.1979          18.1272         0.8921          
0.1600          3.4077          3.3779          17.7527         0.8824          
0.1700          3.5852          3.5542          17.3859         0.8727          
0.1800          3.7591          3.7269          17.0267         0.8631          
0.1900          3.9294          3.8961          16.6749         0.8536          
0.2000          4.0961          4.0618          16.3303         0.8441          
0.2100          4.2594          4.2242          15.9929         0.8347          
0.2200          4.4193          4.3832          15.6625         0.8254          
0.2300          4.5760          4.5389          15.3389         0.8162          
0.2400          4.7294          4.6915          15.0220         0.8071          
0.2500          4.8796          4.8409          14.7116         0.7980          
0.2600          5.0267          4.9873          14.4077         0.7890          
0.2700          5.1708          5.1307          14.1100         0.7801          
0.2800          5.3119          5.2712          13.8184         0.7712          
0.2900          5.4501          5.4088          13.5329         0.7624          
0.3000          5.5854          5.5436          13.2533         0.7537          
0.3100          5.7179          5.6756          12.9795         0.7451          
0.3200          5.8477          5.8050          12.7113         0.7366          
0.3300          5.9748          5.9316          12.4487         0.7281          
0.3400          6.0993          6.0557          12.1915         0.7197          
0.3500          6.2212          6.1773          11.9396         0.7113          
0.3600          6.3406          6.2964          11.6929         0.7031          
0.3700          6.4576          6.4130          11.4513         0.6949          
0.3800          6.5721          6.5272          11.2147         0.6867          
0.3900          6.6842          6.6392          10.9830         0.6787          
0.4000          6.7940          6.7488          10.7561         0.6707          
0.4100          6.9016          6.8562          10.5339         0.6628          
0.4200          7.0069          6.9614          10.3162         0.6550          
0.4300          7.1101          7.0644          10.1031         0.6472          
0.4400          7.2111          7.1653          9.8943          0.6395          
0.4500          7.3101          7.2642          9.6899          0.6319          
0.4600          7.4070          7.3610          9.4897          0.6243          
0.4700          7.5019          7.4559          9.2936          0.6168          
0.4800          7.5948          7.5488          9.1016          0.6094          
0.4900          7.6858          7.6398          8.9136          0.6020          
0.5000          7.7750          7.7290          8.7294          0.5948          
0.5100          7.8623          7.8163          8.5491          0.5875          
0.5200          7.9478          7.9019          8.3724          0.5804          
0.5300          8.0315          7.9857          8.1994          0.5733          
0.5400          8.1135          8.0678          8.0300          0.5663          
0.5500          8.1938          8.1482          7.8641          0.5594          
0.5600          8.2724          8.2270          7.7016          0.5525          
0.5700          8.3494          8.3041          7.5425          0.5457          
0.5800          8.4249          8.3797          7.3867          0.5389          
0.5900          8.4987          8.4537          7.2341          0.5323          
0.6000          8.5711          8.5262          7.0846          0.5256          
0.6100          8.6419          8.5973          6.9382          0.5191          
0.6200          8.7113          8.6669          6.7949          0.5126          
0.6300          8.7792          8.7350          6.6545          0.5062          
0.6400          8.8458          8.8018          6.5170          0.4998          
0.6500          8.9109          8.8672          6.3823          0.4935          
0.6600          8.9748          8.9313          6.2505          0.4873          
0.6700          9.0373          8.9940          6.1213          0.4811          
0.6800          9.0985          9.0555          5.9949          0.4750          
0.6900          9.1584          9.1157          5.8710          0.4690          
0.7000          9.2171          9.1747          5.7497          0.4630          
0.7100          9.2746          9.2324          5.6309          0.4571          
0.7200          9.3310          9.2890          5.5146          0.4513          
0.7300          9.3861          9.3445          5.4006          0.4455          
0.7400          9.4401          9.3988          5.2890          0.4397          
0.7500          9.4930          9.4520          5.1798          0.4340          
0.7600          9.5448          9.5041          5.0727          0.4284          
0.7700          9.5955          9.5551          4.9679          0.4229          
0.7800          9.6452          9.6051          4.8653          0.4174          
0.7900          9.6939          9.6541          4.7648          0.4119          
0.8000          9.7415          9.7021          4.6663          0.4066          
0.8100          9.7882          9.7490          4.5699          0.4012          
0.8200          9.8339          9.7951          4.4755          0.3960          
0.8300          9.8786          9.8402          4.3830          0.3908          
0.8400          9.9224          9.8843          4.2925          0.3856          
0.8500          9.9654          9.9276          4.2038          0.3805          
0.8600          10.0074         9.9700          4.1169          0.3755          
0.8700          10.0486         10.0115         4.0319          0.3705          
0.8800          10.0889         10.0522         3.9486          0.3656          
0.8900          10.1284         10.0920         3.8670          0.3607          
0.9000          10.1671         10.1310         3.7871          0.3559          
0.9100          10.2049         10.1692         3.7088          0.3511          
0.9200          10.2420         10.2067         3.6322          0.3464          
0.9300          10.2783         10.2433         3.5572          0.3417          
0.9400          10.3139         10.2793         3.4837          0.3371          
0.9500          10.3487         10.3144         3.4117          0.3326          
0.9600          10.3829         10.3489         3.3412          0.3281          
0.9700          10.4163         10.3827         3.2722          0.3236          
0.9800          10.4490         10.4157         3.2046          0.3192          
0.9900          10.4810         10.4481         3.1383          0.3149          
1.0000          10.5124         10.4799         3.0735          0.3106          

Simulation Summary:
--------------------------------------------------------------------------------
Maximum Error: 1.0366%
Average Error: 0.6193%
Case execution time: 0.009000 seconds
