
Case 3: Low Voltage (3.3V, 470Ω, 470µF)
Circuit Parameters:
Source Voltage (V_s) = 3.30 V
Resistance (R) = 470.00 Ω
Capacitance (C) = 4.70e-04 F
Time Constant (τ = RC) = 0.2209 s


Analytical Solution:
V(t) = 3.30 * (1 - e^(-t/0.2209))
where τ = RC = 0.2209 seconds

Time(s)          V_num(V)        V_analytic(V)      dV/dt(V/s)        Error(%)
--------------------------------------------------------------------------------
0.0100          0.1494          0.1461          14.2626         2.2805          
0.0200          0.2920          0.2857          13.6170         2.2278          
0.0300          0.4282          0.4191          13.0005         2.1758          
0.0400          0.5582          0.5466          12.4120         2.1247          
0.0500          0.6823          0.6684          11.8501         2.0745          
0.0600          0.8008          0.7849          11.3137         2.0251          
0.0700          0.9139          0.8962          10.8015         1.9765          
0.0800          1.0220          1.0026          10.3125         1.9288          
0.0900          1.1251          1.1043          9.8457          1.8819          
0.1000          1.2235          1.2015          9.4000          1.8359          
0.1100          1.3175          1.2944          8.9744          1.7906          
0.1200          1.4073          1.3831          8.5682          1.7462          
0.1300          1.4930          1.4680          8.1803          1.7026          
0.1400          1.5748          1.5491          7.8100          1.6598          
0.1500          1.6529          1.6266          7.4564          1.6178          
0.1600          1.7274          1.7006          7.1189          1.5766          
0.1700          1.7986          1.7714          6.7966          1.5363          
0.1800          1.8666          1.8391          6.4889          1.4966          
0.1900          1.9315          1.9037          6.1952          1.4578          
0.2000          1.9934          1.9655          5.9147          1.4198          
0.2100          2.0526          2.0246          5.6470          1.3825          
0.2200          2.1091          2.0810          5.3913          1.3460          
0.2300          2.1630          2.1350          5.1473          1.3102          
0.2400          2.2144          2.1866          4.9143          1.2752          
0.2500          2.2636          2.2358          4.6918          1.2409          
0.2600          2.3105          2.2829          4.4794          1.2073          
0.2700          2.3553          2.3280          4.2766          1.1745          
0.2800          2.3981          2.3710          4.0830          1.1423          
0.2900          2.4389          2.4121          3.8982          1.1109          
0.3000          2.4779          2.4514          3.7217          1.0802          
0.3100          2.5151          2.4890          3.5532          1.0501          
0.3200          2.5506          2.5248          3.3924          1.0207          
0.3300          2.5845          2.5592          3.2388          0.9920          
0.3400          2.6169          2.5919          3.0922          0.9640          
0.3500          2.6479          2.6233          2.9522          0.9366          
0.3600          2.6774          2.6532          2.8186          0.9099          
0.3700          2.7056          2.6819          2.6910          0.8837          
0.3800          2.7325          2.7092          2.5692          0.8583          
