
Case 4: High R, Low C (9V, 4.7kΩ, 33µF)
Circuit Parameters:
Source Voltage (V_s) = 9.00 V
Resistance (R) = 4700.00 Ω
Capacitance (C) = 3.30e-05 F
Time Constant (τ = RC) = 0.1551 s


Analytical Solution:
V(t) = 9.00 * (1 - e^(-t/0.1551))
where τ = RC = 0.1551 seconds

Time(s)          V_num(V)        V_analytic(V)      dV/dt(V/s)        Error(%)
--------------------------------------------------------------------------------
0.0100          0.5803          0.5620          54.2858         3.2584          
0.0200          1.1231          1.0888          50.7858         3.1499          
0.0300          1.6310          1.5828          47.5114         3.0441          
0.0400          2.1061          2.0459          44.4481         2.9407          
0.0500          2.5506          2.4801          41.5823         2.8399          
0.0600          2.9664          2.8872          38.9013         2.7417          
0.0700          3.3554          3.2689          36.3932         2.6459          
0.0800          3.7193          3.6268          34.0467         2.5525          
0.0900          4.0598          3.9623          31.8516         2.4617          
0.1000          4.3783          4.2768          29.7980         2.3732          
0.1100          4.6763          4.5717          27.8768         2.2872          
0.1200          4.9551          4.8482          26.0794         2.2035          
0.1300          5.2159          5.1075          24.3980         2.1222          
0.1400          5.4599          5.3505          22.8249         2.0432          
0.1500          5.6881          5.5784          21.3533         1.9665          
0.1600          5.9016          5.7921          19.9766         1.8920          
0.1700          6.1014          5.9924          18.6886         1.8198          
0.1800          6.2883          6.1802          17.4836         1.7497          
0.1900          6.4631          6.3562          16.3564         1.6818          
0.2000          6.6267          6.5213          15.3018         1.6160          
0.2100          6.7797          6.6761          14.3152         1.5523          
0.2200          6.9229          6.8212          13.3923         1.4907          
0.2300          7.0568          6.9572          12.5288         1.4310          
0.2400          7.1821          7.0848          11.7210         1.3733          
0.2500          7.2993          7.2044          10.9653         1.3175          
0.2600          7.4089          7.3165          10.2583         1.2636          
0.2700          7.5115          7.4216          9.5969          1.2116          
0.2800          7.6075          7.5202          8.9782          1.1613          
0.2900          7.6973          7.6126          8.3993          1.1128          
0.3000          7.7813          7.6992          7.8578          1.0660          
0.3100          7.8598          7.7804          7.3511          1.0209          
0.3200          7.9333          7.8566          6.8772          0.9774          
0.3300          8.0021          7.9280          6.4338          0.9355          
0.3400          8.0665          7.9949          6.0190          0.8951          
0.3500          8.1266          8.0577          5.6309          0.8562          
0.3600          8.1830          8.1165          5.2678          0.8189          
0.3700          8.2356          8.1717          4.9282          0.7829          
0.3800          8.2849          8.2234          4.6105          0.7483          
0.3900          8.3310          8.2719          4.3132          0.7150          
0.4000          8.3742          8.3173          4.0351          0.6831          
0.4100          8.4145          8.3600          3.7749          0.6524          
0.4200          8.4523          8.3999          3.5316          0.6229          
0.4300          8.4876          8.4374          3.3039          0.5947          
0.4400          8.5206          8.4725          3.0908          0.5675          
0.4500          8.5515          8.5055          2.8916          0.5415          
0.4600          8.5804          8.5363          2.7051          0.5165          
0.4700          8.6075          8.5653          2.5307          0.4926          
0.4800          8.6328          8.5924          2.3676          0.4697          
0.4900          8.6565          8.6179          2.2149          0.4477          
0.5000          8.6786          8.6417          2.0721          0.4267          
0.5100          8.6993          8.6641          1.9385          0.4066          
0.5200          8.7187          8.6851          1.8135          0.3873          
0.5300          8.7369          8.7047          1.6966          0.3689          
0.5400          8.7538          8.7232          1.5872          0.3513          
0.5500          8.7697          8.7405          1.4849          0.3344          
0.5600          8.7845          8.7567          1.3891          0.3183          
0.5700          8.7984          8.7719          1.2996          0.3029          
0.5800          8.8114          8.7861          1.2158          0.2882          
0.5900          8.8236          8.7995          1.1374          0.2741          
0.6000          8.8350          8.8120          1.0641          0.2607          
0.6100          8.8456          8.8237          0.9955          0.2479          
0.6200          8.8556          8.8347          0.9313          0.2357          
0.6300          8.8649          8.8451          0.8712          0.2241          
0.6400          8.8736          8.8547          0.8151          0.2130          
0.6500          8.8817          8.8638          0.7625          0.2024          
0.6600          8.8894          8.8723          0.7133          0.1922          
0.6700          8.8965          8.8803          0.6674          0.1826          
0.6800          8.9032          8.8878          0.6243          0.1734          
0.6900          8.9094          8.8948          0.5841          0.1647          
0.7000          8.9153          8.9013          0.5464          0.1564          
0.7100          8.9207          8.9075          0.5112          0.1484          
0.7200          8.9258          8.9133          0.4782          0.1409          
0.7300          8.9306          8.9187          0.4474          0.1337          
0.7400          8.9351          8.9238          0.4185          0.1269          
0.7500          8.9393          8.9285          0.3916          0.1204          
0.7600          8.9432          8.9330          0.3663          0.1142          
0.7700          8.9468          8.9372          0.3427          0.1083          
0.7800          8.9503          8.9411          0.3206          0.1027          
0.7900          8.9535          8.9448          0.2999          0.0974          
0.8000          8.9565          8.9482          0.2806          0.0923          
0.8100          8.9593          8.9515          0.2625          0.0875          
0.8200          8.9619          8.9545          0.2456          0.0829          
0.8300          8.9644          8.9573          0.2297          0.0786          
0.8400          8.9667          8.9600          0.2149          0.0745          
0.8500          8.9688          8.9625          0.2011          0.0706          
0.8600          8.9708          8.9648          0.1881          0.0669          
0.8700          8.9727          8.9670          0.1760          0.0633          
0.8800          8.9745          8.9691          0.1646          0.0600          
0.8900          8.9761          8.9710          0.1540          0.0568          
0.9000          8.9777          8.9728          0.1441          0.0538          
0.9100          8.9791          8.9745          0.1348          0.0509          
0.9200          8.9804          8.9761          0.1261          0.0482          
0.9300          8.9817          8.9776          0.1180          0.0456          
0.9400          8.9829          8.9790          0.1104          0.0432          
0.9500          8.9840          8.9803          0.1033          0.0409          
0.9600          8.9850          8.9815          0.0966          0.0387          
0.9700          8.9860          8.9827          0.0904          0.0366          
0.9800          8.9869          8.9838          0.0845          0.0346          
0.9900          8.9877          8.9848          0.0791          0.0328          
1.0000          8.9885          8.9857          0.0740          0.0310          

Simulation Summary:
--------------------------------------------------------------------------------
Maximum Error: 3.2584%
Average Error: 0.8170%
Case execution time: 0.009000 seconds
