
Case 5: Low R, High C (6V, 330Ω, 1000µF)
Circuit Parameters:
Source Voltage (V_s) = 6.00 V
Resistance (R) = 330.00 Ω
Capacitance (C) = 1.00e-03 F
Time Constant (τ = RC) = 0.3300 s


Analytical Solution:
V(t) = 6.00 * (1 - e^(-t/0.3300))
where τ = RC = 0.3300 seconds

Time(s)          V_num(V)        V_analytic(V)      dV/dt(V/s)        Error(%)
--------------------------------------------------------------------------------
0.0100          0.1818          0.1791          17.6309         1.5228          
0.0200          0.3581          0.3528          17.0966         1.4994          
0.0300          0.5291          0.5214          16.5785         1.4762          
0.0400          0.6949          0.6849          16.0761         1.4533          
0.0500          0.8556          0.8436          15.5890         1.4306          
0.0600          1.0115          0.9975          15.1166         1.4082          
0.0700          1.1627          1.1468          14.6585         1.3860          
0.0800          1.3093          1.2917          14.2143         1.3640          
0.0900          1.4514          1.4322          13.7836         1.3423          
0.1000          1.5893          1.5685          13.3659         1.3209          
0.1100          1.7229          1.7008          12.9609         1.2997          
0.1200          1.8525          1.8291          12.5681         1.2787          
0.1300          1.9782          1.9536          12.1873         1.2580          
0.1400          2.1001          2.0744          11.8179         1.2375          
0.1500          2.2183          2.1916          11.4598         1.2173          
0.1600          2.3329          2.3053          11.1126         1.1973          
0.1700          2.4440          2.4155          10.7758         1.1775          
0.1800          2.5517          2.5225          10.4493         1.1580          
0.1900          2.6562          2.6263          10.1326         1.1387          
0.2000          2.7576          2.7270          9.8256          1.1196          
0.2100          2.8558          2.8247          9.5278          1.1008          
0.2200          2.9511          2.9195          9.2391          1.0823          
0.2300          3.0435          3.0114          8.9591          1.0639          
0.2400          3.1331          3.1006          8.6876          1.0458          
0.2500          3.2200          3.1872          8.4244          1.0279          
0.2600          3.3042          3.2711          8.1691          1.0103          
0.2700          3.3859          3.3526          7.9216          0.9929          
0.2800          3.4651          3.4316          7.6815          0.9757          
0.2900          3.5419          3.5083          7.4487          0.9587          
0.3000          3.6164          3.5827          7.2230          0.9420          
0.3100          3.6886          3.6548          7.0041          0.9254          
0.3200          3.7587          3.7248          6.7919          0.9092          
0.3300          3.8266          3.7927          6.5861          0.8931          
0.3400          3.8925          3.8586          6.3865          0.8772          
0.3500          3.9563          3.9225          6.1930          0.8616          
0.3600          4.0183          3.9845          6.0053          0.8462          
0.3700          4.0783          4.0447          5.8233          0.8310          
0.3800          4.1365          4.1031          5.6469          0.8160          
0.3900          4.1930          4.1597          5.4757          0.8012          
0.4000          4.2478          4.2146          5.3098          0.7867          
0.4100          4.3009          4.2679          5.1489          0.7723          
0.4200          4.3524          4.3196          4.9929          0.7582          
0.4300          4.4023          4.3698          4.8416          0.7443          
0.4400          4.4507          4.4184          4.6949          0.7305          
0.4500          4.4976          4.4656          4.5526          0.7170          
0.4600          4.5432          4.5114          4.4146          0.7037          
0.4700          4.5873          4.5559          4.2809          0.6905          
0.4800          4.6301          4.5990          4.1511          0.6776          
0.4900          4.6716          4.6408          4.0253          0.6649          
0.5000          4.7119          4.6814          3.9034          0.6523          
0.5100          4.7509          4.7207          3.7851          0.6400          
0.5200          4.7888          4.7589          3.6704          0.6278          
0.5300          4.8255          4.7959          3.5592          0.6159          
